,compounds,number_chiral_centers,weight
0,C00001,0,18.0153
1,C00002,4,507.181
2,C00003,8,664.433
3,C00004,8,665.441
4,C00005,8,745.4209
5,C00006,8,744.4129
6,C00007,0,31.9988
7,C00008,4,427.2011
8,C00009,0,97.9952
9,C00010,5,767.5341
10,C00011,0,44.0095
11,C00013,0,177.9751
12,C00014,0,17.0305
13,C00015,4,404.1612
14,C00017,2,0.0
15,C00018,0,247.1419
16,C00019,5,398.4374
17,C00020,4,347.2212
18,C00021,5,384.4108
19,C00022,0,88.0621
20,C00024,5,809.5708
21,C00025,1,147.1293
22,C00026,0,146.0981
23,C00027,0,34.0147
24,C00028,-1,0.0
25,C00029,9,566.3018
26,C00030,-1,0.0
27,C00033,0,60.052
28,C00035,4,443.2005
29,C00036,0,132.0716
30,C00037,0,75.0666
31,C00039,9,0.0
32,C00040,5,0.0
33,C00041,1,89.0932
34,C00042,0,118.088
35,C00043,9,607.3537
36,C00044,4,523.1804
37,C00046,12,0.0
38,C00047,1,146.1876
39,C00049,1,133.1027
40,C00051,2,307.3235
41,C00052,8,566.3018
42,C00055,4,323.1965
43,C00058,0,46.0254
44,C00061,3,456.3438
45,C00062,1,174.201
46,C00063,4,483.1563
47,C00064,1,146.1445
48,C00065,1,105.0926
49,C00066,12,0.0
50,C00067,0,30.026
51,C00068,0,425.3144
52,C00073,1,149.2113
53,C00074,0,168.042
54,C00075,4,484.1411
55,C00077,1,132.161
56,C00078,1,204.2252
57,C00079,1,165.1891
58,C00080,0,1.0079
59,C00081,4,508.1658
60,C00082,1,181.1885
61,C00084,0,44.0526
62,C00085,3,260.1358
63,C00086,0,60.0553
64,C00091,5,867.6069
65,C00092,4,260.1358
66,C00093,1,172.0737
67,C00094,0,82.0791
68,C00097,1,121.1582
69,C00099,0,89.0932
70,C00100,5,823.5974
71,C00101,2,445.4292
72,C00103,5,260.1358
73,C00104,4,428.1859
74,C00105,4,324.1813
75,C00106,0,112.0868
76,C00108,0,137.136
77,C00109,0,102.0886
78,C00110,0,0.0
79,C00111,0,170.0578
80,C00112,4,403.1764
81,C00117,3,230.1098
82,C00118,1,170.0578
83,C00119,4,390.0696
84,C00120,3,244.3106
85,C00121,3,150.1299
86,C00122,0,116.0722
87,C00123,1,131.1729
88,C00129,0,246.0921
89,C00130,4,348.20599999999996
90,C00131,3,491.1816
91,C00132,0,32.0419
92,C00134,0,88.1515
93,C00135,1,155.1546
94,C00136,5,837.6239999999997
95,C00138,-1,0.0
96,C00139,-1,0.0
97,C00141,0,116.1152
98,C00143,1,457.4399
99,C00144,4,363.2206
100,C00147,0,135.1267
101,C00148,1,115.1305
102,C00149,1,134.0874
103,C00152,1,132.1179
104,C00153,0,122.1246
105,C00154,5,1005.9429
106,C00155,1,135.1848
107,C00158,0,192.1235
108,C00161,0,0.0
109,C00163,0,74.0785
110,C00166,0,164.158
111,C00167,9,580.2853
112,C00169,0,141.0199
113,C00170,4,297.3335
114,C00175,0,58.9332
115,C00178,0,126.1133
116,C00179,0,130.1915
117,C00183,1,117.1463
118,C00185,9,342.2965
119,C00186,1,90.0779
120,C00188,2,119.1192
121,C00192,0,33.0299
122,C00194,17,1579.5818
123,C00197,1,186.0572
124,C00199,2,230.1098
125,C00201,4,0.0
126,C00203,8,607.3537
127,C00206,3,411.2017
128,C00212,4,267.2413
129,C00214,3,242.2286
130,C00217,1,147.1293
131,C00233,0,130.1418
132,C00235,0,246.0921
133,C00236,1,266.0371
134,C00237,0,28.0101
135,C00239,3,307.1971
136,C00242,0,151.1261
137,C00245,0,125.1469
138,C00248,0,205.3408
139,C00249,0,256.4241
140,C00251,2,226.1828
141,C00254,2,226.1828
142,C00255,3,376.3639
143,C00262,0,136.1115
144,C00263,-1,119.1192
145,C00269,5,0.0
146,C00275,4,260.1358
147,C00279,2,200.0838
148,C00282,0,2.0159
149,C00283,0,34.0809
150,C00286,3,507.181
151,C00288,0,61.0168
152,C00294,4,268.2261
153,C00295,0,156.0963
154,C00299,4,244.2014
155,C00302,0,147.1293
156,C00307,4,488.324
157,C00315,0,145.2459
158,C00320,0,113.1361
159,C00322,0,160.1247
160,C00327,1,175.1857
161,C00330,3,267.2413
162,C00331,0,203.1941
163,C00332,5,851.6075
164,C00337,1,158.1121
165,C00341,0,314.2091
166,C00342,4,0.0
167,C00343,4,0.0
168,C00352,4,259.151
169,C00353,0,450.4432
170,C00354,3,340.1157
171,C00355,1,197.1879
172,C00356,6,911.6594
173,C00360,3,331.2218
174,C00361,3,427.2011
175,C00362,3,347.2212
176,C00363,3,402.1884
177,C00364,3,322.2085
178,C00365,3,308.1819
179,C00380,0,111.102
180,C00387,4,283.2407
181,C00404,0,0.0
182,C00407,2,131.1729
183,C00409,0,48.1075
184,C00415,1,443.4133
185,C00418,1,148.1571
186,C00424,1,74.0785
187,C00430,0,131.1299
188,C00437,1,174.1977
189,C00438,1,176.1274
190,C00441,1,117.1033
191,C00447,4,370.1417
192,C00448,0,382.3261
193,C00454,4,0.0
194,C00455,4,334.2192
195,C00458,3,467.1569
196,C00459,3,482.1683
197,C00460,3,468.1417
198,C00463,0,117.1479
199,C00475,4,243.2166
200,C00483,0,137.179
201,C00490,0,130.0987
202,C00493,3,174.1513
203,C00506,1,169.1564
204,C00522,1,148.1571
205,C00526,3,228.202
206,C00527,5,881.6335
207,C00531,5,879.6176
208,C00536,0,257.955
209,C00546,0,72.0627
210,C00559,3,251.2419
211,C00562,-1,0.0
212,C00575,4,329.2059
213,C00577,1,90.0779
214,C00579,0,207.3567
215,C00582,5,885.6668
216,C00588,0,184.1507
217,C00593,0,124.1158
218,C00606,1,153.157
219,C00620,4,230.1098
220,C00621,0,0.0
221,C00623,1,172.0737
222,C00624,1,189.1659
223,C00630,5,837.6239999999997
224,C00631,1,186.0572
225,C00636,5,260.1358
226,C00638,0,0.0
227,C00641,0,0.0
228,C00645,4,221.2078
229,C00655,4,364.2054
230,C00666,2,190.1971
231,C00668,5,260.1358
232,C00671,1,130.1418
233,C00673,2,214.1104
234,C00677,3,0.0
235,C00680,2,190.1971
236,C00688,7,546.3137
237,C00692,12,879.6082
238,C00695,11,408.5714
239,C00697,0,28.0134
240,C00700,4,524.1652
241,C00705,3,387.17699999999996
242,C00740,1,105.0926
243,C00748,4,916.6610000000001
244,C00760,5,0.0
245,C00787,-1,0.0
246,C00789,7,537.3069
247,C00821,9,0.0
248,C00826,1,227.2139
249,C00828,0,0.0
250,C00842,8,564.3290000000002
251,C00856,9,0.0
252,C00857,8,665.4178
253,C00860,1,141.171
254,C00862,2,748.7310000000001
255,C00868,12,0.0
256,C00876,6,773.5926
257,C00881,3,227.2172
258,C00882,5,687.5542
259,C00886,13,0.0
260,C00900,0,132.1146
261,C00911,4,0.0
262,C00918,2,323.1294
263,C00931,0,226.2292
264,C00935,7,536.2758
265,C00942,4,345.2053
266,C00944,3,190.1507
267,C00957,0,120.1271
268,C00966,0,146.1412
269,C00979,1,147.1293
270,C00986,0,74.1249
271,C01001,2,776.7411
272,C01005,1,185.0725
273,C01024,0,854.8098
274,C01050,10,679.4164
275,C01051,0,836.7946
276,C01068,3,232.1257
277,C01077,1,161.1558
278,C01079,0,568.7058
279,C01080,6,775.6085
280,C01081,0,345.3345
281,C01094,3,260.1358
282,C01099,3,244.1364
283,C01100,1,221.1509
284,C01102,1,199.0991
285,C01103,4,368.1908
286,C01107,1,228.137
287,C01134,1,358.3483
288,C01144,6,853.6234
289,C01157,2,131.1299
290,C01170,9,607.3537
291,C01171,1,260.1358
292,C01179,0,180.1574
293,C01185,4,336.2119
294,C01212,11,750.4943
295,C01217,11,776.6827
296,C01228,4,603.1603
297,C01250,1,173.1665
298,C01251,1,206.1501
299,C01267,0,220.1198
300,C01269,3,324.178
301,C01274,11,804.6928
302,C01279,0,139.1552
303,C01302,2,349.2305
304,C01304,4,353.2258
305,C01330,0,22.9898
306,C01344,3,412.1865
307,C01345,3,492.1664
308,C01346,3,388.1618
309,C01353,0,62.0248
310,C01438,0,16.0425
311,C01528,0,80.9759
312,C01548,0,26.0373
313,C01563,0,61.04
314,C01573,2,0.0
315,C01609,-1,0.0
316,C01635,-1,0.0
317,C01636,-1,0.0
318,C01638,-1,0.0
319,C01639,-1,0.0
320,C01641,-1,0.0
321,C01642,-1,0.0
322,C01643,-1,0.0
323,C01644,-1,0.0
324,C01645,-1,0.0
325,C01646,-1,0.0
326,C01647,-1,0.0
327,C01648,-1,0.0
328,C01649,-1,0.0
329,C01650,-1,0.0
330,C01651,-1,0.0
331,C01652,-1,0.0
332,C01653,-1,0.0
333,C01762,4,284.2255
334,C01801,2,134.1305
335,C01898,14,0.0
336,C01909,0,214.2615
337,C01921,11,465.6227
338,C01929,1,139.1552
339,C01931,13,0.0
340,C01977,12,0.0
341,C01997,1,0.0
342,C02047,13,0.0
343,C02051,1,0.0
344,C02073,12,0.0
345,C02097,8,564.3290000000002
346,C02128,9,0.0
347,C02163,13,0.0
348,C02191,0,562.6582
349,C02211,0,0.0
350,C02226,0,130.0987
351,C02232,5,909.6436
352,C02282,13,0.0
353,C02315,2,0.0
354,C02356,1,103.1198
355,C02376,0,125.1286
356,C02412,12,0.0
357,C02415,1,0.0
358,C02430,13,0.0
359,C02463,4,864.8477
360,C02469,0,830.7469
361,C02501,0,158.1088
362,C02504,1,176.1672
363,C02520,4,0.0
364,C02528,10,392.57199999999995
365,C02532,1,185.0725
366,C02553,13,0.0
367,C02554,13,0.0
368,C02582,2,0.0
369,C02583,1,0.0
370,C02612,1,148.114
371,C02630,0,148.114
372,C02631,0,158.1519
373,C02637,2,172.1354
374,C02702,13,0.0
375,C02729,-1,0.0
376,C02739,8,719.2755
377,C02741,8,559.3157
378,C02743,1,0.0
379,C02764,12,0.0
380,C02839,13,0.0
381,C02843,5,0.0
382,C02939,5,851.6505
383,C02962,4,260.1358
384,C02967,9,0.0
385,C02972,1,0.0
386,C02984,13,0.0
387,C02987,13,0.0
388,C02988,13,0.0
389,C02992,14,0.0
390,C03021,1,0.0
391,C03023,1,0.0
392,C03028,0,505.2943
393,C03082,1,213.0826
394,C03090,4,229.125
395,C03125,13,0.0
396,C03127,14,0.0
397,C03150,4,255.2472
398,C03175,3,254.1312
399,C03194,1,75.1097
400,C03232,0,184.0414
401,C03319,8,548.3296
402,C03344,5,865.6341
403,C03356,2,216.0832
404,C03373,4,295.1864
405,C03391,9,0.0
406,C03402,13,0.0
407,C03406,2,290.2731
408,C03431,5,385.3956
409,C03451,3,379.3861
410,C03453,0,158.1088
411,C03492,1,299.2149
412,C03506,2,287.2057
413,C03511,0,0.0
414,C03512,13,0.0
415,C03523,0,0.0
416,C03576,0,142.1972
417,C03601,2,365.1661
418,C03633,1,0.0
419,C03684,0,237.2153
420,C03722,0,167.1189
421,C03733,9,566.3018
422,C03735,1,260.1358
423,C03741,1,131.1299
424,C03758,0,153.1784
425,C03794,5,463.2934
426,C03798,1,0.0
427,C03800,1,0.0
428,C03802,4,0.0
429,C03838,4,286.1764
430,C03880,13,0.0
431,C03892,2,0.0
432,C03895,2,0.0
433,C03912,1,113.1146
434,C03920,0,156.2238
435,C03972,1,171.1507
436,C04002,0,188.1348
437,C04006,6,260.1358
438,C04039,0,134.1305
439,C04046,6,0.0
440,C04051,0,126.1166
441,C04122,1,155.0896
442,C04133,1,269.1458
443,C04144,4,703.6572
444,C04157,12,0.0
445,C04181,0,132.1146
446,C04188,4,260.202
447,C04213,10,0.0
448,C04236,1,174.1513
449,C04242,3,326.1723
450,C04250,9,0.0
451,C04272,1,134.1305
452,C04281,2,129.114
453,C04294,0,143.2068
454,C04302,4,349.2305
455,C04309,0,198.0679
456,C04327,0,223.1867
457,C04330,11,787.6854
458,C04332,3,326.3052
459,C04376,4,314.1865
460,C04377,11,788.6934
461,C04411,2,176.1672
462,C04421,2,290.2698
463,C04441,2,0.0
464,C04462,1,289.2387
465,C04483,10,392.57199999999995
466,C04488,11,790.7092
467,C04489,4,717.6838
468,C04494,4,683.1402
469,C04500,5,0.0
470,C04501,5,301.1877
471,C04556,0,219.1351
472,C04574,0,927.2623
473,C04582,2,260.202
474,C04590,1,444.5418
475,C04628,2,343.3336
476,C04638,1,717.0099
477,C04640,4,313.2017
478,C04646,4,364.2716
479,C04666,2,238.1351
480,C04677,4,338.2112
481,C04681,2,0.0
482,C04692,2,0.0
483,C04702,15,1149.9363
484,C04732,3,276.2465
485,C04734,4,366.2213
486,C04735,1,0.0
487,C04751,4,339.1959
488,C04752,0,299.115
489,C04778,4,358.2836
490,C04823,5,454.2833
491,C04832,2,483.515
492,C04851,11,1673.0374
493,C04856,9,683.4563
494,C04882,16,1193.9458
495,C04895,2,495.1703
496,C04896,8,577.331
497,C04899,9,763.4362
498,C04916,6,577.331
499,C05116,5,853.6234
500,C05122,10,515.703
501,C05125,0,469.3669
502,C05167,0,0.0
503,C05172,0,160.9558
504,C05196,-1,0.0
505,C05197,0,0.0
506,C05198,4,251.2419
507,C05199,-1,0.0
508,C05269,5,879.6606
509,C05312,0,0.0
510,C05335,1,196.1063
511,C05336,13,0.0
512,C05345,4,260.1358
513,C05359,-1,0.0
514,C05360,0,30.0293
515,C05361,0,32.0452
516,C05378,4,340.1157
517,C05382,4,290.1618
518,C05463,9,499.7036
519,C05464,10,449.6233
520,C05465,10,499.7036
521,C05466,10,449.6233
522,C05526,3,426.4658
523,C05527,0,152.1259
524,C05528,0,168.1253
525,C05533,0,204.1342
526,C05662,2,206.1501
527,C05674,4,473.3325
528,C05684,0,126.9582
529,C05688,1,168.0532
530,C05691,5,446.3403
531,C05692,5,431.3058
