Mineral Name,Mineral Name (plain),Mineral Name (HTML),RRUFF Chemistry (plain),IMA Chemistry (plain),RRUFF Chemistry (concise),IMA Chemistry (concise),RRUFF Chemistry (HTML),IMA Chemistry (HTML),Chemistry Elements,IMA Number,RRUFF IDs,Database ID,Country of Type Locality,Year First Published,IMA Status,Structural Groupname,Fleischers Groupname,Status Notes,Crystal Systems,Oldest Known Age (Ma),Valence Elements
Acanthite,Acanthite,Acanthite,Ag1+2S2-,Ag2S,Ag^1+^_2_S^2-^,Ag_2_S,Ag<sup>1+</sup><sub>2</sub>S<sup>2-</sup>,Ag<sub>2</sub>S,Ag S,,R070578 R080016,782,Czech Republic,1855,Grandfathered|Approved,Acanthite, ,"Kenngott A (1855) Ueber den akanthit, eine neue species in dem geschlechte der silber-glanze, Annalen der Physik und Chemie 95, 462-464",monoclinic,4000.0,Ag^1+ S^2-
Actinolite,Actinolite,Actinolite,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,"<span style=""border: 1px solid #333; font-size:7px;"">   </span>Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>",Ca Mg Fe Si O H,,R040063 R040064 R050025 R050336 R060045 R060041 R120010,784,Germany / Austria,1794,Approved|Redefined,Amphibole,amphibole-group 2 Ca,"Originally named actynolite:
Kirwan R (1794) 16th species: actynolite, in Elements of Mineralogy, 2nd Edition, Volume 1, Elmsly (London) 167-170",monoclinic,4000.0,Ca Mg Fe^2+ Si O H
Adrianite,Adrianite,Adrianite,Ca12(Al4Mg3Si7)O32Cl6,Ca12(Al4Mg3Si7)O32Cl6,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_,Ca<sub>12</sub>(Al<sub>4</sub>Mg<sub>3</sub>Si<sub>7</sub>)O<sub>32</sub>Cl<sub>6</sub>,Ca<sub>12</sub>(Al<sub>4</sub>Mg<sub>3</sub>Si<sub>7</sub>)O<sub>32</sub>Cl<sub>6</sub>,Ca Al Mg Si O Cl,IMA2014-028,,6322,Mexico (meteorite),2014,Approved, , ,"Ma C, Krot A N (2018) Adrianite, Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_, a new Cl-rich silicate mineral from the Allende meteorite: An alteration phase in a Ca-Al-rich inclusion. American Mineralogist 103, 1329–1334

",cubic,4567.61,Ca Al Mg Si O Cl
Aenigmatite,Aenigmatite,Aenigmatite,Na4(Fe2+10Ti4+2)O4[Si12O36],Na4[Fe2+10Ti2]O4[Si12O36],Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_],Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_],Na<sub>4</sub>(Fe<sup>2+</sup><sub>10</sub>Ti<sup>4+</sup><sub>2</sub>)O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>],Na<sub>4</sub>[Fe<sup>2+</sup><sub>10</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>],Na Fe Ti O Si,,R061088 R061089,791,Denmark (Greenland),1865,Approved,Sapphirine,aenigmatite,"Breithaupt A (1865) Mineralogische studien. 29. Kölbingit. Ainigmatit, Berg- und Huttenmannische Zeitung 24, 397-398",triclinic,4567.61,Na Fe^2+ Ti^4+ O Si
Åkermanite,Akermanite,&#197;kermanite,Ca2MgSi2O7,Ca2MgSi2O7,Ca_2_MgSi_2_O_7_,Ca_2_MgSi_2_O_7_,Ca<sub>2</sub>MgSi<sub>2</sub>O<sub>7</sub>,Ca<sub>2</sub>MgSi<sub>2</sub>O<sub>7</sub>,Ca Mg Si O,,R061085 R061100,814,Sweden,1884,Grandfathered|Approved,Melilite,melilite,"Vogt I H L (1890) Die mineralien der melilithgruppe - nämlich gehlenit, melilith und ein neues tetragonales, nicht Al<sub>2</sub>O<sub>3</sub>-führendes (Ca,Mg)O-silikat (Åkermanit), nebst zwischengliedern, Archiv for Mathematik og Naturvidenskab 13, 310-402",tetragonal,4330.0,Ca Mg Si O
Alabandite,Alabandite,Alabandite,Mn2+S2-,MnS,Mn^2+^S^2-^,MnS,Mn<sup>2+</sup>S<sup>2-</sup>,MnS,Mn S,,R070174,820,Romania / Turkey,1822,Grandfathered|Approved,Rocksalt,galena,"Called alabandina sulfurea by Don Andres Manuel del Rio as reported in:
Haüy R J (1822) Manganèse sulfuré, Traité de Minéralogie 4, 268-272

Renamed alabandine:
Beudant F S (1832) Alabandine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 399-400",cubic,4620.0,Mn^2+ S^2-
Albite,Albite,Albite,NaAlSi3O8,Na(AlSi3O8),NaAlSi_3_O_8_,Na(AlSi_3_O_8_),NaAlSi<sub>3</sub>O<sub>8</sub>,Na(AlSi<sub>3</sub>O<sub>8</sub>),Na Al Si O,,R040068 R040129 R050253 R050402 R060054 R070268 R100169,824,Sweden,1815,Grandfathered|Approved,Feldspar,feldspar,"Gahn J G, Berzelius J (1815) Underfökning af nagra i grannskapet af Fahlun funna Fossilier, Afhandlingar i Fysik, Kemi och Mineralogi 4, 148-216 (see page 180)",triclinic,4620.0,Na Al Si O
Allendeite,Allendeite,Allendeite,Sc3+4Zr4+3O12,Sc4Zr3O12,Sc^3+^_4_Zr^4+^_3_O_12_,Sc_4_Zr_3_O_12_,Sc<sup>3+</sup><sub>4</sub>Zr<sup>4+</sup><sub>3</sub>O<sub>12</sub>,Sc<sub>4</sub>Zr<sub>3</sub>O<sub>12</sub>,Sc Zr O,IMA2007-027,,5629,Mexico (meteorite),2007,Approved, , ,"Ma C, Beckett J R, Rossman G R (2014) Allendeite (Sc_4_Zr_3_O_12_) and hexamolybdenum (Mo,Ru,Fe), two new minerals from an ultrarefractory inclusion from the Allende meteorite. American Mineralogist 99, 654-666",hexagonal,4567.61,Sc^3+ Zr^4+ O
Allophane,Allophane,Allophane,Al2O3(SiO2)1.3-2.0·2.5-3.0H2O,Al2O3(SiO2)1.3-2.0·2.5-3.0H2O,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,Al<sub>2</sub>O<sub>3</sub>(SiO<sub>2</sub>)<sub>1.3-2.0</sub>·2.5-3.0H<sub>2</sub>O,Al<sub>2</sub>O<sub>3</sub>(SiO<sub>2</sub>)<sub>1.3-2.0</sub>·2.5-3.0H<sub>2</sub>O,Al O Si H,,R070188 R120001,837,Germany,1816,Grandfathered|Approved,Allophane,kaolinite-serpentine-serpentine subgroup,"Hausmann J F L, Stromeyer F (1816) Report at the Royal Academy of Sciences Göttingen meeting 13 July, 1816 on silberkupferglanz and allophan, Göttingische Gelehrte Anzeigen 2, 1249-1253",,4000.0,Al O Si H
Altaite,Altaite,Altaite,Pb2+Te2-,PbTe,Pb^2+^Te^2-^,PbTe,Pb<sup>2+</sup>Te<sup>2-</sup>,PbTe,Pb Te,,R060939,843,Kazakhstan,1845,Grandfathered|Approved,Rocksalt,galena,"Haidinger W (1845) Zweite Klasse: Geogenide. XII. Ordung. Metalle. II. Tellur. Altait, in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 556-559",cubic,4000.0,Pb^2+ Te^2-
