"Mineral Name","Mineral Name (plain)","Mineral Name (HTML)","RRUFF Chemistry (plain)","IMA Chemistry (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)","RRUFF Chemistry (HTML)","IMA Chemistry (HTML)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements"
"Abswurmbachite","Abswurmbachite","Abswurmbachite","Cu2+Mn3+6O8(SiO4)","Cu2+Mn3+6O8(SiO4)","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)","Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>)","Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>)","Cu Mn O Si","IMA1990-007","","781","Greece","1990","Approved","Braunite","braunite","Reinecke T, Tillmanns E, Bernhardt H J (1991) Abswurmbachite, Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>[O<sub>8</sub>/SiO<sub>4</sub>], a new mineral of the braunite group: natural occurrence, synthesis, and crystal structure, Neues Jahrbuch fur Mineralogie, Abhandlungen 163, 117-143","tetragonal","541","Cu^2+ Mn^3+ O Si"
"Abuite","Abuite","Abuite","CaAl2(PO4)2F2","CaAl2(PO4)2F2","CaAl_2_(PO_4_)_2_F_2_","CaAl_2_(PO_4_)_2_F_2_","CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>","CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>","Ca Al P O F","IMA2014-084","","6382","Japan","2014","Approved"," "," ","Enju S, Uehara S (2017) Abuite, CaAl_2_(PO_4_)_2_F_2_, a new mineral from the Hinomaru-Nago mine, Yamaguchi Prefecture, Japan. Journal of Mineralogical and Petrological Sciences 112, 109-115 ","orthorhombic","","Ca Al P O F"
"Acanthite","Acanthite","Acanthite","Ag1+2S2-","Ag2S","Ag^1+^_2_S^2-^","Ag_2_S","Ag<sup>1+</sup><sub>2</sub>S<sup>2-</sup>","Ag<sub>2</sub>S","Ag S","","R070578 R080016","782","Czech Republic","1855","Grandfathered|Approved","Acanthite"," ","Kenngott A (1855) Ueber den akanthit, eine neue species in dem geschlechte der silber-glanze, Annalen der Physik und Chemie 95, 462-464","monoclinic","4000","Ag^1+ S^2-"
"Actinolite","Actinolite","Actinolite","Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","<span style=""border: 1px solid #333; font-size:7px;"">   </span>Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","Ca Mg Fe Si O H","","R040063 R040064 R050025 R050336 R060045 R060041 R120010","784","Germany / Austria","1794","Approved|Redefined","Amphibole","amphibole-group 2 Ca","Originally named actynolite:
Kirwan R (1794) 16th species: actynolite, in Elements of Mineralogy, 2nd Edition, Volume 1, Elmsly (London) 167-170","monoclinic","4000","Ca Mg Fe^2+ Si O H"
"Acuminite","Acuminite","Acuminite","SrAlF4(OH)·H2O","SrAlF4(OH)·H2O","SrAlF_4_(OH)·H_2_O","SrAlF_4_(OH)·H_2_O","SrAlF<sub>4</sub>(OH)·H<sub>2</sub>O","SrAlF<sub>4</sub>(OH)·H<sub>2</sub>O","Sr Al F O H","IMA1986-038","","785","Denmark (Greenland)","1986","Approved","Tikhonenkovite"," ","Pauly H, Petersen O V (1987) Acuminite, a new Sr-fluoride from Ivigtut, South Greenland, Neues Jahrbuch für Mineralogie, Monatshefte 1987, 502-514","monoclinic","1275","Sr Al F O H"
"Adamsite-(Y)","Adamsite-(Y)","Adamsite-(Y)","NaY3+(CO3)2·6H2O","NaY(CO3)2·6H2O","NaY^3+^(CO_3_)_2_·6H_2_O","NaY(CO_3_)_2_·6H_2_O","NaY<sup>3+</sup>(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O","NaY(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O","Na Y C O H","IMA1999-020","R070360","787","Canada","1999","Approved"," "," ","Grice J D, Gault R A, Roberts A C, Cooper M A (2000) Adamsite-(Y), a new sodium-yttrium carbonate mineral species from Mont Saint-Hilaire, Quebec, The Canadian Mineralogist 38, 1457-1466","triclinic","1742","Na Y^3+ C O H"
"Admontite","Admontite","Admontite","MgB6O10·7H2O","MgB6O10·7H2O","MgB_6_O_10_·7H_2_O","MgB_6_O_10_·7H_2_O","MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>O","MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>O","Mg B O H","IMA1978-012","","789","Austria","1978","Approved"," "," ","Walenta K (1979) Admontit, ein neues boratmineral aus der gipslägerstiitte schildmauer bei admont in der Steiermark (Österreich), Tschermaks Mineralogische und Petrographische Mitteilungen 26, 69-77

Chemical formula revised:
dal Negro A, Ungaretti L, Basso R (1976) The crystal structure of synthetic hydrated borates: (II) MgO·3B<sub>2</sub>O<sub>3</sub>·7H<sub>2</sub>O, Crystal Structure Communications 5, 433-436","monoclinic","","Mg B O H"
"Aegirine","Aegirine","Aegirine","NaFe3+Si2O6","NaFe3+Si2O6","NaFe^3+^Si_2_O_6_","NaFe^3+^Si_2_O_6_","NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>","NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>","Na Fe Si O","","R040054 R050074 R061093 R070125 R070253 R120144 R120167","790","Norway","1835","Approved","Pyroxene","pyroxene","Berzelius J (1835) [Untitled note on aegirine], Neues Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde 1835, 184-185","monoclinic","2613","Na Fe^3+ Si O"
"Aenigmatite","Aenigmatite","Aenigmatite","Na4(Fe2+10Ti4+2)O4[Si12O36]","Na4[Fe2+10Ti2]O4[Si12O36]","Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]","Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_]","Na<sub>4</sub>(Fe<sup>2+</sup><sub>10</sub>Ti<sup>4+</sup><sub>2</sub>)O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>]","Na<sub>4</sub>[Fe<sup>2+</sup><sub>10</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>]","Na Fe Ti O Si","","R061088 R061089","791","Denmark (Greenland)","1865","Approved","Sapphirine","aenigmatite","Breithaupt A (1865) Mineralogische studien. 29. Kölbingit. Ainigmatit, Berg- und Huttenmannische Zeitung 24, 397-398","triclinic","4567.61","Na Fe^2+ Ti^4+ O Si"
"Aerinite","Aerinite","Aerinite","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","(Ca,Na)<sub>6</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg,Al)<sub>4</sub>(Al,Mg)<sub>6</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·12H<sub>2</sub>O","(Ca,Na)<sub>6</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg,Al)<sub>4</sub>(Al,Mg)<sub>6</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·12H<sub>2</sub>O","Ca Na Fe Mg Al Si O H C","","R050610","792","Spain","1876","Approved|Redefined"," "," ","von Lasaulx A (1876) Aërinit, ein neues mineral, Neues Jahrbuch für Mineralogie 1876, 175, 352-358

Re-instated as a valid mineral:
Azambre B, Monchoux P (1988) Précisions minéralogiques sur l'aérinite: nouvelle occurrence à Saint-Pandelon (Landes, France), Bulletin de Minéralogie 111, 39-47 

Chemical formula redefined:
Rius J, Elkaim E, Torrelles X (2004) Structure determination of the blue mineral pigment aerinite from synchrotron powder diffraction data: The solution of an old riddle, European Journal of Mineralogy 16, 127-134

Chemical formula redefined again:
Rius J, Crespi A, Roig A, Melgarejo J C (2009) Crystal-structure refinement of Fe<sup>3+</sup>-rich aerinite from synchrotron powder diffraction and Mössbauer data, European Journal of Mineralogy 21, 233-240 ","hexagonal","287","Ca Na Fe^3+ Fe^2+ Mg Al Si O H C"
