"Mineral Name","Mineral Name (plain)","Mineral Name (HTML)","RRUFF Chemistry (plain)","IMA Chemistry (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)","RRUFF Chemistry (HTML)","IMA Chemistry (HTML)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements"
"Abellaite","Abellaite","Abellaite","NaPb2+2(CO3)2(OH)","NaPb2(CO3)2(OH)","NaPb^2+^_2_(CO_3_)_2_(OH)","NaPb_2_(CO_3_)_2_(OH)","NaPb<sup>2+</sup><sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)","NaPb<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)","Na Pb C O H","IMA2014-111","","6482","Spain","2014","Approved"," "," ","Ibáñez-Insa J, Elvira J J, Llovet X, Pérez-Cano J, Oriols N, Busquets-Masó M, Hernández S (2017) Abellaite, NaPb_2_(CO_3_)_2_(OH), a new supergene mineral from the Eureka mine, Lleida province, Catalonia, Spain. European Journal of Mineralogy 29, 915-922","hexagonal","370","Na Pb^2+ C O H"
"Abenakiite-(Ce)","Abenakiite-(Ce)","Abenakiite-(Ce)","Na26Ce3+6(SiO3)6(P5+O4)6(C4+O3)6(S4+O2)O","Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O","Na_26_Ce^3+^_6_(SiO_3_)_6_(P^5+^O_4_)_6_(C^4+^O_3_)_6_(S^4+^O_2_)O","Na_26_Ce_6_(Si_6_O_18_)(PO_4_)_6_(CO_3_)_6_(SO_2_)O","Na<sub>26</sub>Ce<sup>3+</sup><sub>6</sub>(SiO<sub>3</sub>)<sub>6</sub>(P<sup>5+</sup>O<sub>4</sub>)<sub>6</sub>(C<sup>4+</sup>O<sub>3</sub>)<sub>6</sub>(S<sup>4+</sup>O<sub>2</sub>)O","Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O","Na Ce Si O P C S","IMA1991-054","","778","Canada","1991","Approved"," "," ","McDonald A M, Chao G Y, Grice J D (1994) Abenakiite-(Ce), a new silicophosphate carbonate mineral from Mont Saint-Hilaire, Quebec: Description and structure determination, The Canadian Mineralogist 32, 843-854","hexagonal","124","Na Ce^3+ Si O P^5+ C^4+ S^4+"
"Abramovite","Abramovite","Abramovite","Pb2+2Sn4+In3+Bi3+S2-7","Pb2SnInBiS7","Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_","Pb_2_SnInBiS_7_","Pb<sup>2+</sup><sub>2</sub>Sn<sup>4+</sup>In<sup>3+</sup>Bi<sup>3+</sup>S<sup>2-</sup><sub>7</sub>","Pb<sub>2</sub>SnInBiS<sub>7</sub>","Pb Sn In Bi S","IMA2006-016","R070037","5327","Russia","2006","Approved"," "," ","Yudovakaya M A, Trybkin N V, Koporulina E V, Belakovsky D I, Mokhov A V, Kuznetsova M V, Golovanova T I (2007) Abramovite, Pb<sub>2</sub>SnInBiS<sub>7</sub> - the new mineral from fumaroles of Kudryavy Volcano (Kurily Islands), Zapiski Rossiiskogo Mineralogicheskogo Obshchetstva 136(5), 45-51","triclinic","0.04","Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-"
"Abswurmbachite","Abswurmbachite","Abswurmbachite","Cu2+Mn3+6O8(SiO4)","Cu2+Mn3+6O8(SiO4)","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)","Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>)","Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>)","Cu Mn O Si","IMA1990-007","","781","Greece","1990","Approved","Braunite","braunite","Reinecke T, Tillmanns E, Bernhardt H J (1991) Abswurmbachite, Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>[O<sub>8</sub>/SiO<sub>4</sub>], a new mineral of the braunite group: natural occurrence, synthesis, and crystal structure, Neues Jahrbuch fur Mineralogie, Abhandlungen 163, 117-143","tetragonal","541","Cu^2+ Mn^3+ O Si"
"Abuite","Abuite","Abuite","CaAl2(PO4)2F2","CaAl2(PO4)2F2","CaAl_2_(PO_4_)_2_F_2_","CaAl_2_(PO_4_)_2_F_2_","CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>","CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>","Ca Al P O F","IMA2014-084","","6382","Japan","2014","Approved"," "," ","Enju S, Uehara S (2017) Abuite, CaAl_2_(PO_4_)_2_F_2_, a new mineral from the Hinomaru-Nago mine, Yamaguchi Prefecture, Japan. Journal of Mineralogical and Petrological Sciences 112, 109-115 ","orthorhombic","","Ca Al P O F"
"Acanthite","Acanthite","Acanthite","Ag1+2S2-","Ag2S","Ag^1+^_2_S^2-^","Ag_2_S","Ag<sup>1+</sup><sub>2</sub>S<sup>2-</sup>","Ag<sub>2</sub>S","Ag S","","R070578 R080016","782","Czech Republic","1855","Grandfathered|Approved","Acanthite"," ","Kenngott A (1855) Ueber den akanthit, eine neue species in dem geschlechte der silber-glanze, Annalen der Physik und Chemie 95, 462-464","monoclinic","4000","Ag^1+ S^2-"
"Achalaite","Achalaite","Achalaite","Fe2+Ti4+Nb5+2O8","Fe2+TiNb2O8","Fe^2+^Ti^4+^Nb^5+^_2_O_8_","Fe^2+^TiNb_2_O_8_","Fe<sup>2+</sup>Ti<sup>4+</sup>Nb<sup>5+</sup><sub>2</sub>O<sub>8</sub>","Fe<sup>2+</sup>TiNb<sub>2</sub>O<sub>8</sub>","Fe Ti Nb O","IMA2013-103","","6262","Argentina","2013","Approved","Wodginite"," ","Galliski M Á, Márquez-Zavalía M F, Černý P, Lira R, Colombo F, Roberts A C, Bernhardt H J (2016) Achalaite, Fe^2+^TiNb_2_O_8_, a new member of the wodginite group from the La Calandria granitic pegmatite, Córdoba, Argentina. The Canadian Mineralogist 54, 1043-1052","monoclinic","","Fe^2+ Ti^4+ Nb^5+ O"
"Achávalite","Achavalite","Ach&#225;valite","FeSe","FeSe","FeSe","FeSe","FeSe","FeSe","Fe Se","","","5363","Argentina","1939","Approved|Renamed","Nickeline"," ","Olsacher J (1939) Achavalita, seleniuro de hierro. Nueva especie mineral, Boletin de la Facultad de Ciencias Exactas, Fisicas y Naturales, Universidad Nacional de Cordoba 2, 73-78

Spelling of name changed from achavalite to achávalite:
Hålenius U, Hatert F, Pasero M, Mills S J (2015) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 28. New minerals and nomenclature modifications approved in 2015. Mineralogical Magazine 79, 1859-1864","hexagonal","","Fe Se"
"Achyrophanite","Achyrophanite","Achyrophanite","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(As5+O4)5","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5","(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_","(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(AsO_4_)_5_","(K,Na)<sub>3</sub>(Fe<sup>3+</sup>,Ti,Al,Mg)<sub>5</sub>O<sub>2</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>5</sub>","(K,Na)<sub>3</sub>(Fe<sup>3+</sup>,Ti,Al,Mg)<sub>5</sub>O<sub>2</sub>(AsO<sub>4</sub>)<sub>5</sub>","K Na Fe Ti Al Mg O As","IMA2018-011","","6754","Russia","2018","Pending publication|Approved"," "," ","Pekov, I.V., Zubkova, N.V., Koshlyakova, N.N., Belakovskiy, D.I., Vigasina, M.F., Agakhanov, A.A., Britvin, S.N., Turchkova, A.G., Sidorov, E.G. and Pushcharovsky, D.Y. (2018) Achyrophanite, IMA2018-011. CNMNC Newsletter No 43, June 2018, page 783; Mineralogical Magazine, 82, 779–785","orthorhombic","3.6E-5","K Na Fe^3+ Ti Al Mg O As^5+"
"Acmonidesite","Acmonidesite","Acmonidesite","(N3-H4,K,Pb2+,Na)9Fe2+4(S6+O4)5Cl8","(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8","(N^3-^H_4_,K,Pb^2+^,Na)_9_Fe^2+^_4_(S^6+^O_4_)_5_Cl_8_","(NH_4_,K,Pb,Na)_9_Fe^2+^_4_(SO_4_)_5_Cl_8_","(N<sup>3-</sup>H<sub>4</sub>,K,Pb<sup>2+</sup>,Na)<sub>9</sub>Fe<sup>2+</sup><sub>4</sub>(S<sup>6+</sup>O<sub>4</sub>)<sub>5</sub>Cl<sub>8</sub>","(NH<sub>4</sub>,K,Pb,Na)<sub>9</sub>Fe<sup>2+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>5</sub>Cl<sub>8</sub>","N H K Pb Na Fe S O Cl","IMA2013-068","","6229","Italy","2013","Approved"," "," ","Demartin F, Castellano C, Campostrini I (2019) Acmonidesite, a new ammonium sulfate chloride from La Fossa crater, Vulcano, Aeolian Islands, Italy. Mineralogical Magazine 83, 137-142","orthorhombic","","N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl"
