COD_ID,SMI,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold,Mineral Name,IMA Chemistry (plain),IMA Chemistry (concise),Chemistry Elements,IMA Number,IMA Status,Structural Groupname,Crystal Systems,Oldest Known Age (Ma),Valence Elements
1011351,[Mn+2].[S-2],5.24,,5.24,,5.24,,90.0,,90.0,,90.0,,143.9,,,,,,,,,,,,,2.0,F m -3 m,-F 4 2 3,,Manganese sulfide,- Mn S -,- Mn S -,- Mn4 S4 -,4.0,0.0208333,,"Ott, H","Die Strukturen von Mn O, Mn S, Ag F, Ni S, Sn I4, Sr Cl2, Ba F2, Praezisionsmessungen einiger Alkalihalogenide.","Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977)",1926.0,63.0,,222,230,,,,,,,,,,,,,,,,,,,,,,has coordinates,130149.0,2020-10-21,18:00:00,,Alabandite,MnS,MnS,Mn S,,Grandfathered|Approved,Rocksalt,cubic,4620.0,Mn^2+ S^2-
9003096,[As]12[As]3S[As](S1)S[As](S2)S3.[As]12[As]3S[As](S1)[As](S2)S3,9.942,,9.601,,9.177999999999999,,90.0,,101.94,,90.0,,857.115,,,,,,,,,,,,,2.0,P 1 2/c 1,-P 2yc,,,- As8 S9 -,- As16 S18 -,- As16 S18 -,,,,"Bonazzi, P.; Bindi, L.; Popova, V.; Pratesi, G.; Menchetti, S.","Alacranite, As8S9: structural study of the holotype and re-assignment of the original chemical formula",American Mineralogist,2003.0,88.0,,1796,1800.0,,,,,,,,,,,,,,,,,,,,,,has coordinates,85285.0,2020-10-21,18:00:00,,Alacránite,As8S9,As_8_S_9_,As S,IMA1985-033,Approved|Renamed, ,monoclinic,443.0,As S
9007626,[Al]123([OH2])([OH]4[Al]5([OH]2)([OH2])([OH2])[OH]2[Al]([OH]5)([OH2])([OH][Al]42([OH]1)([OH2])[OH2])(O)O)[OH][Al]12([OH]3)([OH2])[OH]3[Al]4([OH2])([OH2])([OH]1)[OH]1[Al]([OH][Al]31([OH]2)([OH2])[OH2])([OH]4)[OH2].S(=O)(=O)([O-])[O-].S(=O)(=O)([O-])[O-].S(=O)(=O)([O-])[O-].S(=O)(=O)([O-])[O-].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O,7.44,,15.583,,11.7,,90.0,,110.18,,90.0,,1273.2,,,,,,,,,,,,,4.0,P 1 21/c 1,-P 2ybc,,,- Al2 H18 O15 S -,- Al2 H18 O15 S -,- Al8 H72 O60 S4 -,4.0,1.0,,"Sabelli, C.; Ferroni, R. T.",The crystal structure of aluminite Note: anisotropic displacement factors from ICSD,"Acta Crystallographica, Section B",1978.0,34.0,,2407,2412.0,10.1107/S0567740878008341,,,,,,,,,,,,,,,,,,,,,has coordinates,200438.0,2020-10-21,18:00:00,,Aluminite,Al2(SO4)(OH)4·7H2O,Al_2_(SO_4_)(OH)_4_·7H_2_O,Al S O H,,Grandfathered|Approved,Aluminite,monoclinic,3110.0,Al S^6+ O H
9008150,[Fe]12([OH2])([OH2])([OH2])OS(=O)(=O)O[Fe]345([OH2])[O]6[Fe]([OH2])([OH2])([OH2])(OS(=O)(=O)O[Fe]6([O]25)([OH2])OS(O1)(=O)=O)OS(=[O]3)(=O)O[Fe]123([OH2])[O]5[Fe]6([OH2])(OS(=O)(=O)O[Fe]5([OH2])([OH2])([OH2])OS(=[O]2)(=O)O4)OS(=O)(=O)O[Fe](OS(=O)(=O)O1)([O]36)([OH2])([OH2])[OH2].O.O.O.O.O.O.O.O.O.O.O.O,8.976,,11.677999999999999,,6.6979999999999995,,95.65,,90.36,,97.2,,693.052,,,,,,,,,,,,,4.0,P -1,-P 1,,,- Fe4 H28 O32 S4 -,- Fe4 H28 O32 S4 -,- Fe4 H28 O32 S4 -,1.0,0.5,,"Susse, P.","The crystal structure of amarantite, Fe2(SO4)2O*7H2O Locality: Quetena, Chile",Zeitschrift fur Kristallographie,1968.0,127.0,,261,275,,,,,,,,,,,,,,,,,,,,,,has coordinates,200438.0,2020-10-21,18:00:00,,Amarantite,Fe3+2O(SO4)2·7H2O,Fe^3+^_2_O(SO_4_)_2_·7H_2_O,Fe O S H,,Grandfathered|Approved,Amarantite,triclinic,470.0,Fe^3+ O S^6+ H
1010942,[Ti+4].[O-2].[O-2],3.73,,3.73,,9.37,,90.0,,90.0,,90.0,,130.4,,,,,,,,,,,,,2.0,I 41/a m d :1,I 4bw 2bw -1bw,,Titanium oxide,- O2 Ti -,- O2 Ti -,- O8 Ti4 -,4.0,0.125,,"Parker, R L",Zur Kristallstruktur von Anastas und Rutil. (II. Teil. Die Anastasstruktur).,"Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977)",1924.0,59.0,,1,54,,,,,,,,,,,,,,,,,,,,,,has coordinates,201954.0,2020-10-21,18:00:00,,Anatase,TiO2,TiO_2_,Ti O,,Approved, ,tetragonal,3074.0,Ti^4+ O
1010950,[Pb+2].S(=O)(=O)([O-])[O-],8.45,,5.38,,6.93,,90.0,,90.0,,90.0,,315.0,,,,,,,,,,,,,3.0,P n m a,-P 2ac 2n,,Lead sulfate,- O4 Pb S -,- O4 Pb S -,- O16 Pb4 S4 -,4.0,0.5,,"James, R. W.; Wood, W. A.","The Crystal Structures of Barytes, Celestine and Anglesite","Proceedings of the Royal Society of London, Series A: Mathematical and Physical Sciences (76,1906-)",1925.0,109.0,,598,620,10.1098/rspa.1925.0148,,,,,,,,,,,,,,,,,,,,,has coordinates,258310.0,2020-10-21,18:00:00,,Anglesite,Pb(SO4),Pb(SO_4_),Pb S O,,Grandfathered|Approved,Baryte,orthorhombic,4000.0,Pb^2+ S^6+ O
9007514,[Cu+2].[Cu+].[Cu+].[Cu+].[Cu+].[Cu+].[Cu+].[S-2].[S-2].[S-2].[S-2],7.89,,7.84,,11.01,,90.0,,90.0,,90.0,,681.052,,,,,,,,,,,,,2.0,P n m a,-P 2ac 2n,,,- Cu7 S4 -,- Cu28 S16 -,- Cu28 S16 -,,,,"Koto, K.; Morimoto, N.",The crystal structure of anilite,"Acta Crystallographica, Section B",1970.0,26.0,,915,924.0,10.1107/S0567740870003370,,,,,,,,,,,,,,,,,,,,,has coordinates,120115.0,2020-10-21,18:00:00,,Anilite,Cu7S4,Cu_7_S_4_,Cu S,IMA1968-030,Approved,Digenite,orthorhombic|unknown,2498.0,Cu S
9004785,[V]1(=O)([OH2])([OH2])([OH2])OS(=O)(=O)O[V](=O)([OH2])([OH2])([OH2])OS(=O)(=O)O1.O.O.O.O,7.5329999999999995,,7.792000000000001,,7.818,,78.96,,71.86,,65.41,,395.517,,,,,,,,,,,,,4.0,P -1,-P 1,,,- H10 O10 S V -,- H6 O10 S V -,- H12 O20 S2 V2 -,2.0,1.0,,"Cooper, M. A.; Hawthorne, F. C.; Grice, J. D.; Haynes, P.","Anorthominasragrite, VO(SO4)(H2O)5, a new mineral species from Temple Mountain, Emery County, Utah, U.S.A.: Description, crystal structure and hydrogen bonding Locality: Temple Mountain, Emery County, Utah, USA",The Canadian Mineralogist,2003.0,41.0,,959,979.0,10.2113/gscanmin.41.4.959,,,,,,,,,,,,,,,,,,,,,has coordinates,200438.0,2020-10-21,18:00:00,,Anorthominasragrite,V4+O(SO4)·5H2O,V^4+^O(SO_4_)·5H_2_O,V O S H,IMA2001-040,Approved,Minasragrite,triclinic,117.0,V^4+ O S^6+ H
5000214,[Sb],4.3084,0.0002,4.3084,0.0002,11.274000000000001,0.006,90.0,,90.0,,120.0,,181.2,,,,,,,,,,,,,1.0,R -3 m :H,"-R 3 2""",Antimony,Antimony,- Sb -,- Sb -,- Sb6 -,6.0,0.166667,,"Barrett, C S; Cucka, P; Haefner, K","The Crystal Structure of Antimony at 4.2, 78 and 298 K","Acta Crystallographica (1,1948-23,1967)",1963.0,16.0,,451,453,10.1107/S0365110X63001262,,,,,,0.0225,,,,,,,,,,,,,,,has coordinates,202022.0,2020-10-21,18:00:00,,Antimony,Sb,Sb,Sb,,Grandfathered|Approved,Arsenic,"hexagonal|cubic, tetragonal, rhombohedral",3640.0,Sb
5000219,[As],3.7597,0.0001,3.7597,0.0001,10.4412,0.0002,90.0,,90.0,,120.0,,127.8,,,,,,,,,,,,,1.0,R -3 m :H,"-R 3 2""",Arsenic,Arsenic,- As -,- As -,- As6 -,6.0,0.166667,,"Schiferl, D; Barrett, C S","The Crystal Structure of Arsenic at 4.2, 78 and 299K",Journal of Applied Crystallography,1969.0,2.0,,30,36,10.1107/S0021889869006443,,,,,,0.039,,,,,,,,,,,,,,,has coordinates,176451.0,2020-10-21,18:00:00,,Arsenic,As,As,As,,Grandfathered|Approved,Arsenic,hexagonal|rhombohedral,2816.0,As
