,compounds,number_chiral_centers,weight
0,C00001,0,18.0153
1,C00002,4,507.181
2,C00003,8,664.433
3,C00004,8,665.441
4,C00005,8,745.4209
5,C00006,8,744.4129
6,C00007,0,31.9988
7,C00008,4,427.2011
8,C00009,0,97.9952
9,C00010,5,767.5341
10,C00011,0,44.0095
11,C00012,0,0.0
12,C00013,0,177.9751
13,C00014,0,17.0305
14,C00015,4,404.1612
15,C00016,7,785.5497
16,C00017,2,0.0
17,C00018,0,247.1419
18,C00019,5,398.4374
19,C00020,4,347.2212
20,C00021,5,384.4108
21,C00022,0,88.0621
22,C00024,5,809.5708
23,C00025,1,147.1293
24,C00026,0,146.0981
25,C00027,0,34.0147
26,C00028,-1,0.0
27,C00029,9,566.3018
28,C00030,-1,0.0
29,C00031,4,180.1559
30,C00032,0,616.4873
31,C00033,0,60.052
32,C00035,4,443.2005
33,C00036,0,132.0716
34,C00037,0,75.0666
35,C00039,9,0.0
36,C00040,5,0.0
37,C00041,1,89.0932
38,C00042,0,118.088
39,C00043,9,607.3537
40,C00044,4,523.1804
41,C00045,0,0.0
42,C00046,12,0.0
43,C00047,1,146.1876
44,C00048,0,74.0355
45,C00049,1,133.1027
46,C00051,2,307.3235
47,C00052,8,566.3018
48,C00053,4,507.2643
49,C00054,4,427.2011
50,C00055,4,323.1965
51,C00058,0,46.0254
52,C00059,0,98.0785
53,C00060,0,0.0
54,C00061,3,456.3438
55,C00062,1,174.201
56,C00063,4,483.1563
57,C00064,1,146.1445
58,C00065,1,105.0926
59,C00066,12,0.0
60,C00067,0,30.026
61,C00068,0,425.3144
62,C00069,0,0.0
63,C00071,0,0.0
64,C00073,1,149.2113
65,C00074,0,168.042
66,C00075,4,484.1411
67,C00077,1,132.161
68,C00078,1,204.2252
69,C00079,1,165.1891
70,C00080,0,1.0079
71,C00081,4,508.1658
72,C00082,1,181.1885
73,C00083,5,853.5803
74,C00084,0,44.0526
75,C00085,3,260.1358
76,C00086,0,60.0553
77,C00088,0,47.0134
78,C00090,0,110.1106
79,C00091,5,867.6069
80,C00092,4,260.1358
81,C00093,1,172.0737
82,C00094,0,82.0791
83,C00095,3,180.1559
84,C00097,1,121.1582
85,C00099,0,89.0932
86,C00100,5,823.5974
87,C00101,2,445.4292
88,C00103,5,260.1358
89,C00104,4,428.1859
90,C00105,4,324.1813
91,C00106,0,112.0868
92,C00108,0,137.136
93,C00109,0,102.0886
94,C00111,0,170.0578
95,C00112,4,403.1764
96,C00114,0,104.1708
97,C00116,0,92.0938
98,C00117,3,230.1098
99,C00118,1,170.0578
100,C00119,4,390.0696
101,C00120,3,244.3106
102,C00122,0,116.0722
103,C00123,1,131.1729
104,C00125,2,0.0
105,C00126,2,0.0
106,C00127,4,612.6311
107,C00128,10,614.4511
108,C00129,0,246.0921
109,C00130,4,348.20599999999996
110,C00131,3,491.1816
111,C00132,0,32.0419
112,C00133,1,89.0932
113,C00134,0,88.1515
114,C00135,1,155.1546
115,C00136,5,837.6239999999997
116,C00137,6,180.1559
117,C00138,-1,0.0
118,C00139,-1,0.0
119,C00140,4,221.2078
120,C00141,0,116.1152
121,C00143,1,457.4399
122,C00144,4,363.2206
123,C00147,0,135.1267
124,C00148,1,115.1305
125,C00149,1,134.0874
126,C00151,1,0.0
127,C00152,1,132.1179
128,C00154,5,1005.9429
129,C00155,1,135.1848
130,C00156,0,138.1207
131,C00157,0,0.0
132,C00158,0,192.1235
133,C00160,0,76.0514
134,C00161,0,0.0
135,C00162,0,0.0
136,C00163,0,74.0785
137,C00164,0,102.0886
138,C00166,0,164.158
139,C00168,0,104.0615
140,C00169,0,141.0199
141,C00170,4,297.3335
142,C00173,0,0.0
143,C00175,0,58.9332
144,C00177,0,26.0174
145,C00178,0,126.1133
146,C00179,0,130.1915
147,C00180,0,122.1213
148,C00183,1,117.1463
149,C00184,0,90.0779
150,C00186,1,90.0779
151,C00187,8,386.6535
152,C00188,2,119.1192
153,C00189,0,61.0831
154,C00194,17,1579.5818
155,C00197,1,186.0572
156,C00198,4,178.14
157,C00199,2,230.1098
158,C00201,4,0.0
159,C00203,8,607.3537
160,C00204,2,178.14
161,C00206,3,411.2017
162,C00209,0,90.0349
163,C00212,4,267.2413
164,C00213,0,89.0932
165,C00214,3,242.2286
166,C00217,1,147.1293
167,C00218,0,31.0571
168,C00219,0,304.4669
169,C00222,0,88.0621
170,C00224,4,427.2844
171,C00226,0,0.0
172,C00227,0,140.0319
173,C00229,0,0.0
174,C00230,0,154.1201
175,C00231,2,230.1098
176,C00232,0,102.0886
177,C00233,0,130.1418
178,C00234,2,473.4393
179,C00235,0,246.0921
180,C00236,1,266.0371
181,C00237,0,28.0101
182,C00239,3,307.1971
183,C00241,0,0.0
184,C00242,0,151.1261
185,C00244,0,63.0128
186,C00245,0,125.1469
187,C00247,3,180.1559
188,C00248,0,205.3408
189,C00249,0,256.4241
190,C00250,0,167.162
191,C00251,2,226.1828
192,C00253,0,123.1094
193,C00254,2,226.1828
194,C00255,3,376.3639
195,C00256,1,90.0779
196,C00257,4,196.1553
197,C00258,1,106.0773
198,C00261,0,106.1219
199,C00262,0,136.1115
200,C00263,-1,119.1192
201,C00264,5,0.0
202,C00266,0,60.052
203,C00268,3,239.2312
204,C00269,5,0.0
205,C00270,5,309.2699
206,C00272,3,241.2471
207,C00275,4,260.1358
208,C00279,2,200.0838
209,C00280,5,286.4085
210,C00283,0,34.0809
211,C00286,3,507.181
212,C00288,0,61.0168
213,C00294,4,268.2261
214,C00295,0,156.0963
215,C00299,4,244.2014
216,C00300,0,131.1332
217,C00301,8,559.3157
218,C00302,0,147.1293
219,C00305,0,24.305
220,C00310,2,150.1299
221,C00311,0,192.1235
222,C00313,5,839.5537
223,C00314,0,169.1778
224,C00315,0,145.2459
225,C00320,0,113.1361
226,C00322,0,160.1247
227,C00327,1,175.1857
228,C00328,1,208.2139
229,C00330,3,267.2413
230,C00331,0,203.1941
231,C00332,5,851.6075
232,C00334,0,103.1198
233,C00337,1,158.1121
234,C00339,0,0.0
235,C00340,-1,0.0
236,C00341,0,314.2091
237,C00342,4,0.0
238,C00343,4,0.0
239,C00344,2,0.0
240,C00345,4,276.1352
241,C00349,0,102.0886
242,C00350,0,0.0
243,C00352,4,259.151
244,C00353,0,450.4432
245,C00354,3,340.1157
246,C00355,1,197.1879
247,C00356,6,911.6594
248,C00360,3,331.2218
249,C00361,3,427.2011
250,C00362,3,347.2212
251,C00363,3,402.1884
252,C00364,3,322.2085
253,C00365,3,308.1819
254,C00366,0,168.1103
255,C00376,0,284.4357
256,C00378,0,265.3546
257,C00379,3,152.1458
258,C00380,0,111.102
259,C00385,0,152.1109
260,C00387,4,283.2407
261,C00390,0,0.0
262,C00392,4,182.1718
263,C00395,3,0.0
264,C00399,0,0.0
265,C00402,1,133.1027
266,C00404,0,0.0
267,C00405,1,0.0
268,C00406,5,943.7028
269,C00407,2,131.1729
270,C00409,0,48.1075
271,C00410,6,314.4617
272,C00412,5,1033.9961
273,C00413,15,581.5741
274,C00415,1,443.4133
275,C00416,0,0.0
276,C00417,0,174.1082
277,C00420,0,0.0
278,C00424,1,74.0785
279,C00429,0,114.1026
280,C00430,0,131.1299
281,C00433,0,130.0987
282,C00435,-1,0.0
283,C00437,1,174.1977
284,C00438,1,176.1274
285,C00439,1,174.1546
286,C00440,2,459.4558
287,C00441,1,117.1033
288,C00445,1,456.43199999999996
289,C00447,4,370.1417
290,C00448,0,382.3261
291,C00454,4,0.0
292,C00455,4,334.2192
293,C00458,3,467.1569
294,C00459,3,482.1683
295,C00460,3,468.1417
296,C00462,0,0.0
297,C00463,0,117.1479
298,C00468,4,270.3661
299,C00469,0,46.0684
300,C00472,0,108.0948
301,C00473,0,286.4516
302,C00475,4,243.2166
303,C00482,0,224.21
304,C00483,0,137.179
305,C00488,0,45.0406
306,C00489,0,132.1146
307,C00490,0,130.0987
308,C00493,3,174.1513
309,C00497,1,134.0874
310,C00504,1,441.3975
311,C00506,1,169.1564
312,C00510,5,1031.9802
313,C00511,0,72.0627
314,C00512,5,871.6402
315,C00522,1,148.1571
316,C00526,3,228.202
317,C00527,5,881.6335
318,C00530,0,110.1106
319,C00531,5,879.6176
320,C00533,0,30.0061
321,C00534,0,168.1931
322,C00535,6,288.4244
323,C00536,0,257.955
324,C00541,13,1329.3478
325,C00544,0,168.1467
326,C00546,0,72.0627
327,C00552,2,150.0868
328,C00555,0,87.1204
329,C00559,3,251.2419
330,C00562,-1,0.0
331,C00566,6,941.6424
332,C00568,0,137.136
333,C00575,4,329.2059
334,C00576,0,102.1549
335,C00577,1,90.0779
336,C00579,0,207.3567
337,C00582,5,885.6668
338,C00585,1,0.0
339,C00587,0,138.1207
340,C00591,5,0.0
341,C00593,0,124.1158
342,C00599,7,384.6377
343,C00601,0,120.1485
344,C00603,1,134.0907
345,C00605,5,0.0
346,C00606,1,153.157
347,C00614,1,0.0
348,C00615,1,0.0
349,C00619,0,272.425
350,C00624,1,189.1659
351,C00627,0,249.1577
352,C00628,0,154.1201
353,C00630,5,837.6239999999997
354,C00631,1,186.0572
355,C00632,0,153.1354
356,C00633,0,122.1213
357,C00636,5,260.1358
358,C00637,0,159.1846
359,C00638,0,0.0
360,C00640,6,0.0
361,C00641,0,0.0
362,C00642,0,152.1473
363,C00645,4,221.2078
364,C00647,0,248.173
365,C00653,3,0.0
366,C00655,4,364.2054
367,C00658,5,0.0
368,C00662,-1,0.0
369,C00666,2,190.1971
370,C00667,-1,0.0
371,C00668,5,260.1358
372,C00669,2,250.2722
373,C00670,1,258.2292
374,C00671,1,130.1418
375,C00672,3,214.1104
376,C00677,3,0.0
377,C00679,2,192.1235
378,C00680,2,190.1971
379,C00681,1,0.0
380,C00683,6,867.6069
381,C00685,0,0.0
382,C00688,7,546.3137
383,C00689,10,422.2764
384,C00691,5,178.14
385,C00692,12,879.6082
386,C00693,0,0.0
387,C00695,11,408.5714
388,C00700,4,524.1652
389,C00703,0,200.59
390,C00704,0,31.9988
391,C00705,3,387.17699999999996
392,C00712,0,282.4614
393,C00719,0,117.1463
394,C00726,0,0.0
395,C00735,7,362.4599
396,C00740,1,105.0926
397,C00741,0,86.0892
398,C00755,0,152.1473
399,C00756,0,130.2279
400,C00764,3,180.1559
401,C00770,4,196.1553
402,C00785,0,138.124
403,C00787,-1,0.0
404,C00791,0,113.1179
405,C00792,1,174.201
406,C00794,4,182.1718
407,C00795,3,180.1559
408,C00797,0,45.0837
409,C00798,5,795.5442
410,C00800,4,196.1553
411,C00804,0,70.0468
412,C00805,0,138.1207
413,C00810,1,88.1051
414,C00811,0,164.158
415,C00817,4,196.1553
416,C00818,4,210.1388
417,C00819,1,146.1445
418,C00821,9,0.0
419,C00822,1,195.1721
420,C00826,1,227.2139
421,C00828,0,0.0
422,C00831,1,278.3684
423,C00842,8,564.3290000000002
424,C00846,0,160.1247
425,C00850,0,174.1744
426,C00853,13,1330.3557
427,C00856,9,0.0
428,C00857,8,665.4178
429,C00860,1,141.171
430,C00864,1,219.235
431,C00868,12,0.0
432,C00870,0,139.1088
433,C00877,5,835.6081
434,C00879,4,210.1388
435,C00881,3,227.2172
436,C00882,5,687.5542
437,C00885,2,226.1828
438,C00886,13,0.0
439,C00894,5,821.5815
440,C00898,2,150.0868
441,C00900,0,132.1146
442,C00906,0,128.1292
443,C00911,4,0.0
444,C00921,0,314.2994
445,C00923,-1,0.0
446,C00924,-1,0.0
447,C00931,0,226.2292
448,C00934,-1,0.0
449,C00935,7,536.2758
450,C00937,1,74.0785
451,C00942,4,345.2053
452,C00944,3,190.1507
453,C00954,0,175.18400000000003
454,C00957,0,120.1271
455,C00958,0,0.0
456,C00966,0,146.1412
457,C00972,0,0.0
458,C00979,1,147.1293
459,C00988,0,156.0313
460,C00993,2,160.1711
461,C00996,-1,0.0
462,C00997,-1,0.0
463,C00999,-1,0.0
464,C01000,-1,0.0
465,C01005,1,185.0725
466,C01010,0,104.0648
467,C01011,6,897.6329
468,C01020,0,139.1088
469,C01021,1,0.0
470,C01024,0,854.8098
471,C01031,2,335.3336
472,C01034,0,272.425
473,C01035,0,145.1597
474,C01036,0,200.1455
475,C01037,0,188.2673
476,C01040,4,178.14
477,C01043,0,132.1179
478,C01045,1,175.1394
479,C01050,10,679.4164
480,C01051,0,836.7946
481,C01059,0,111.0987
482,C01061,0,200.1455
483,C01062,3,194.1394
484,C01063,5,909.6866
485,C01064,10,0.0
486,C01077,1,161.1558
487,C01078,1,0.0
488,C01079,0,568.7058
489,C01081,0,345.3345
490,C01083,10,342.2965
491,C01086,6,0.0
492,C01089,1,104.1045
493,C01092,0,187.2362
494,C01094,3,260.1358
495,C01097,3,260.1358
496,C01100,1,221.1509
497,C01102,1,199.0991
498,C01103,4,368.1908
499,C01112,3,230.1098
500,C01122,5,0.0
501,C01127,0,162.0975
502,C01132,4,221.2078
503,C01134,1,358.3483
504,C01137,4,355.4358
505,C01138,15,661.554
506,C01144,6,853.6234
507,C01146,0,104.0615
508,C01149,0,130.208
509,C01153,0,0.0
510,C01157,2,131.1299
511,C01159,1,266.0371
512,C01161,0,168.1467
513,C01163,0,186.1189
514,C01165,1,131.1299
515,C01167,1,0.0
516,C01170,9,607.3537
517,C01172,5,260.1358
518,C01176,6,330.4611
519,C01177,6,260.1358
520,C01179,0,180.1574
521,C01180,0,148.1802
522,C01181,0,146.2074
523,C01185,4,336.2119
524,C01187,4,238.192
525,C01188,0,104.1045
526,C01197,0,180.1574
527,C01209,0,0.0
528,C01212,11,750.4943
529,C01213,6,867.6069
530,C01217,11,776.6827
531,C01219,8,547.3017
