,compounds,number_chiral_centers,weight
0,C00001,0,18.0153
1,C00002,4,507.181
2,C00003,8,664.433
3,C00004,8,665.441
4,C00005,8,745.4209
5,C00006,8,744.4129
6,C00007,0,31.9988
7,C00008,4,427.2011
8,C00009,0,97.9952
9,C00010,5,767.5341
10,C00011,0,44.0095
11,C00012,0,0.0
12,C00013,0,177.9751
13,C00014,0,17.0305
14,C00015,4,404.1612
15,C00016,7,785.5497
16,C00017,2,0.0
17,C00018,0,247.1419
18,C00019,5,398.4374
19,C00020,4,347.2212
20,C00021,5,384.4108
21,C00022,0,88.0621
22,C00024,5,809.5708
23,C00025,1,147.1293
24,C00026,0,146.0981
25,C00027,0,34.0147
26,C00028,-1,0.0
27,C00029,9,566.3018
28,C00030,-1,0.0
29,C00031,4,180.1559
30,C00032,0,616.4873
31,C00033,0,60.052
32,C00035,4,443.2005
33,C00036,0,132.0716
34,C00037,0,75.0666
35,C00039,9,0.0
36,C00040,5,0.0
37,C00041,1,89.0932
38,C00042,0,118.088
39,C00043,9,607.3537
40,C00044,4,523.1804
41,C00045,0,0.0
42,C00046,12,0.0
43,C00047,1,146.1876
44,C00048,0,74.0355
45,C00049,1,133.1027
46,C00051,2,307.3235
47,C00052,8,566.3018
48,C00053,4,507.2643
49,C00054,4,427.2011
50,C00055,4,323.1965
51,C00058,0,46.0254
52,C00059,0,98.0785
53,C00060,0,0.0
54,C00061,3,456.3438
55,C00062,1,174.201
56,C00063,4,483.1563
57,C00064,1,146.1445
58,C00065,1,105.0926
59,C00066,12,0.0
60,C00067,0,30.026
61,C00068,0,425.3144
62,C00069,0,0.0
63,C00071,0,0.0
64,C00073,1,149.2113
65,C00074,0,168.042
66,C00075,4,484.1411
67,C00077,1,132.161
68,C00078,1,204.2252
69,C00079,1,165.1891
70,C00080,0,1.0079
71,C00081,4,508.1658
72,C00082,1,181.1885
73,C00083,5,853.5803
74,C00084,0,44.0526
75,C00085,3,260.1358
76,C00086,0,60.0553
77,C00087,0,32.065
78,C00088,0,47.0134
79,C00089,9,342.2965
80,C00090,0,110.1106
81,C00091,5,867.6069
82,C00092,4,260.1358
83,C00093,1,172.0737
84,C00094,0,82.0791
85,C00095,3,180.1559
86,C00096,9,605.3411
87,C00097,1,121.1582
88,C00099,0,89.0932
89,C00100,5,823.5974
90,C00101,2,445.4292
91,C00103,5,260.1358
92,C00104,4,428.1859
93,C00105,4,324.1813
94,C00106,0,112.0868
95,C00108,0,137.136
96,C00109,0,102.0886
97,C00110,0,0.0
98,C00111,0,170.0578
99,C00112,4,403.1764
100,C00114,0,104.1708
101,C00116,0,92.0938
102,C00117,3,230.1098
103,C00118,1,170.0578
104,C00119,4,390.0696
105,C00120,3,244.3106
106,C00121,3,150.1299
107,C00122,0,116.0722
108,C00123,1,131.1729
109,C00124,4,180.1559
110,C00125,2,0.0
111,C00126,2,0.0
112,C00127,4,612.6311
113,C00129,0,246.0921
114,C00130,4,348.20599999999996
115,C00131,3,491.1816
116,C00132,0,32.0419
117,C00134,0,88.1515
118,C00135,1,155.1546
119,C00136,5,837.6239999999997
120,C00137,6,180.1559
121,C00140,4,221.2078
122,C00141,0,116.1152
123,C00143,1,457.4399
124,C00144,4,363.2206
125,C00145,0,0.0
126,C00146,0,94.1112
127,C00147,0,135.1267
128,C00148,1,115.1305
129,C00149,1,134.0874
130,C00151,1,0.0
131,C00152,1,132.1179
132,C00153,0,122.1246
133,C00154,5,1005.9429
134,C00155,1,135.1848
135,C00156,0,138.1207
136,C00157,0,0.0
137,C00158,0,192.1235
138,C00159,4,180.1559
139,C00160,0,76.0514
140,C00161,0,0.0
141,C00162,0,0.0
142,C00163,0,74.0785
143,C00164,0,102.0886
144,C00165,0,0.0
145,C00166,0,164.158
146,C00167,9,580.2853
147,C00168,0,104.0615
148,C00169,0,141.0199
149,C00170,4,297.3335
150,C00173,0,0.0
151,C00177,0,26.0174
152,C00179,0,130.1915
153,C00180,0,122.1213
154,C00181,3,150.1299
155,C00183,1,117.1463
156,C00184,0,90.0779
157,C00185,9,342.2965
158,C00186,1,90.0779
159,C00187,8,386.6535
160,C00188,2,119.1192
161,C00189,0,61.0831
162,C00190,7,536.2758
163,C00191,4,194.1394
164,C00195,2,0.0
165,C00196,0,154.1201
166,C00197,1,186.0572
167,C00198,4,178.14
168,C00199,2,230.1098
169,C00201,4,0.0
170,C00203,8,607.3537
171,C00204,2,178.14
172,C00206,3,411.2017
173,C00208,9,342.2965
174,C00212,4,267.2413
175,C00213,0,89.0932
176,C00214,3,242.2286
177,C00218,0,31.0571
178,C00219,0,304.4669
179,C00221,5,180.1559
180,C00222,0,88.0621
181,C00224,4,427.2844
182,C00226,0,0.0
183,C00227,0,140.0319
184,C00229,0,0.0
185,C00230,0,154.1201
186,C00231,2,230.1098
187,C00232,0,102.0886
188,C00233,0,130.1418
189,C00234,2,473.4393
190,C00235,0,246.0921
191,C00236,1,266.0371
192,C00237,0,28.0101
193,C00239,3,307.1971
194,C00241,0,0.0
195,C00242,0,151.1261
196,C00243,9,342.2965
197,C00244,0,63.0128
198,C00245,0,125.1469
199,C00247,3,180.1559
200,C00248,0,205.3408
201,C00249,0,256.4241
202,C00250,0,167.162
203,C00251,2,226.1828
204,C00253,0,123.1094
205,C00254,2,226.1828
206,C00255,3,376.3639
207,C00256,1,90.0779
208,C00257,4,196.1553
209,C00258,1,106.0773
210,C00259,3,150.1299
211,C00262,0,136.1115
212,C00263,-1,119.1192
213,C00264,5,0.0
214,C00267,5,180.1559
215,C00268,3,239.2312
216,C00269,5,0.0
217,C00272,3,241.2471
218,C00275,4,260.1358
219,C00279,2,200.0838
220,C00280,5,286.4085
221,C00283,0,34.0809
222,C00286,3,507.181
223,C00288,0,61.0168
224,C00294,4,268.2261
225,C00295,0,156.0963
226,C00296,4,192.1666
227,C00299,4,244.2014
228,C00302,0,147.1293
229,C00307,4,488.324
230,C00310,2,150.1299
231,C00311,0,192.1235
232,C00314,0,169.1778
233,C00315,0,145.2459
234,C00319,2,299.4919
235,C00320,0,113.1361
236,C00322,0,160.1247
237,C00327,1,175.1857
238,C00328,1,208.2139
239,C00329,4,179.1711
240,C00330,3,267.2413
241,C00331,0,203.1941
242,C00332,5,851.6075
243,C00333,4,194.1394
244,C00334,0,103.1198
245,C00337,1,158.1121
246,C00339,0,0.0
247,C00341,0,314.2091
248,C00342,4,0.0
249,C00343,4,0.0
250,C00344,2,0.0
251,C00345,4,276.1352
252,C00346,0,141.063
253,C00349,0,102.0886
254,C00350,0,0.0
255,C00352,4,259.151
256,C00353,0,450.4432
257,C00354,3,340.1157
258,C00355,1,197.1879
259,C00356,6,911.6594
260,C00357,4,301.1877
261,C00360,3,331.2218
262,C00361,3,427.2011
263,C00362,3,347.2212
264,C00363,3,402.1884
265,C00364,3,322.2085
266,C00365,3,308.1819
267,C00366,0,168.1103
268,C00369,10,0.0
269,C00370,0,248.4036
270,C00375,0,0.0
271,C00376,0,284.4357
272,C00378,0,265.3546
273,C00379,3,152.1458
274,C00381,0,0.0
275,C00385,0,152.1109
276,C00386,1,226.2325
277,C00387,4,283.2407
278,C00390,0,0.0
279,C00392,4,182.1718
280,C00398,0,160.2157
281,C00399,0,0.0
282,C00404,0,0.0
283,C00407,2,131.1729
284,C00408,1,129.157
285,C00409,0,48.1075
286,C00410,6,314.4617
287,C00412,5,1033.9961
288,C00415,1,443.4133
289,C00416,0,0.0
290,C00417,0,174.1082
291,C00418,1,148.1571
292,C00419,12,0.0
293,C00420,0,0.0
294,C00422,0,0.0
295,C00423,0,148.1586
296,C00424,1,74.0785
297,C00427,5,352.4651
298,C00430,0,131.1299
299,C00433,0,130.0987
300,C00437,1,174.1977
301,C00438,1,176.1274
302,C00440,2,459.4558
303,C00441,1,117.1033
304,C00445,1,456.43199999999996
305,C00446,5,260.1358
306,C00447,4,370.1417
307,C00448,0,382.3261
308,C00449,2,276.2863
309,C00450,1,127.1412
310,C00454,4,0.0
311,C00455,4,334.2192
312,C00458,3,467.1569
313,C00459,3,482.1683
314,C00460,3,468.1417
315,C00461,5,0.0
316,C00462,0,0.0
317,C00463,0,117.1479
318,C00468,4,270.3661
319,C00469,0,46.0684
320,C00470,14,0.0
321,C00472,0,108.0948
322,C00473,0,286.4516
323,C00475,4,243.2166
324,C00483,0,137.179
325,C00487,0,162.2068
326,C00488,0,45.0406
327,C00489,0,132.1146
328,C00490,0,130.0987
329,C00491,2,240.3005
330,C00492,14,504.4371
331,C00493,3,174.1513
332,C00496,-1,0.0
333,C00499,0,176.1307
334,C00504,1,441.3975
335,C00506,1,169.1564
336,C00507,4,164.1565
337,C00510,5,1031.9802
338,C00511,0,72.0627
339,C00512,5,871.6402
340,C00517,0,240.4247
341,C00519,0,109.1475
342,C00522,1,148.1571
343,C00524,2,0.0
344,C00525,1,204.2252
345,C00526,3,228.202
346,C00527,5,881.6335
347,C00530,0,110.1106
348,C00531,5,879.6176
349,C00533,0,30.0061
350,C00534,0,168.1931
351,C00535,6,288.4244
352,C00542,0,222.2621
353,C00543,0,45.0837
354,C00544,0,168.1467
355,C00546,0,72.0627
356,C00547,1,169.1778
357,C00550,2,0.0
358,C00555,0,87.1204
359,C00559,3,251.2419
360,C00561,1,133.1473
361,C00562,-1,0.0
362,C00568,0,137.136
363,C00570,4,446.2442
364,C00575,4,329.2059
365,C00576,0,102.1549
366,C00577,1,90.0779
367,C00579,0,207.3567
368,C00585,1,0.0
369,C00588,0,184.1507
370,C00590,0,180.2005
371,C00599,7,384.6377
372,C00601,0,120.1485
373,C00603,1,134.0907
374,C00605,5,0.0
375,C00606,1,153.157
376,C00613,1,0.0
377,C00615,1,0.0
378,C00617,8,580.2853
379,C00620,4,230.1098
380,C00621,0,0.0
381,C00623,1,172.0737
382,C00624,1,189.1659
383,C00627,0,249.1577
384,C00628,0,154.1201
385,C00630,5,837.6239999999997
386,C00631,1,186.0572
387,C00632,0,153.1354
388,C00636,5,260.1358
389,C00637,0,159.1846
390,C00638,0,0.0
391,C00640,6,0.0
392,C00641,0,0.0
393,C00642,0,152.1473
394,C00643,1,220.2246
395,C00647,0,248.173
396,C00652,3,148.114
397,C00655,4,364.2054
398,C00658,5,0.0
399,C00662,-1,0.0
400,C00665,4,340.1157
401,C00667,-1,0.0
402,C00668,5,260.1358
403,C00669,2,250.2722
404,C00670,1,258.2292
405,C00671,1,130.1418
406,C00673,2,214.1104
407,C00674,6,288.4244
408,C00677,3,0.0
409,C00679,2,192.1235
410,C00681,1,0.0
411,C00685,0,0.0
412,C00689,10,422.2764
413,C00691,5,178.14
414,C00696,4,352.4651
415,C00697,0,28.0134
416,C00704,0,31.9988
417,C00705,3,387.17699999999996
418,C00712,0,282.4614
419,C00714,20,0.0
420,C00718,5,0.0
421,C00719,0,117.1463
422,C00721,10,0.0
423,C00726,0,0.0
424,C00734,15,0.0
425,C00738,0,180.1559
426,C00740,1,105.0926
427,C00748,4,916.6610000000001
428,C00750,0,202.3402
429,C00751,0,410.718
430,C00756,0,130.2279
431,C00759,-1,0.0
432,C00760,5,0.0
433,C00762,6,360.444
434,C00777,0,300.4351
435,C00779,1,194.18400000000003
436,C00780,0,176.2151
437,C00787,-1,0.0
438,C00788,1,183.2044
439,C00794,4,182.1718
440,C00800,4,196.1553
441,C00804,0,70.0468
442,C00805,0,138.1207
443,C00811,0,164.158
444,C00818,4,210.1388
445,C00822,1,195.1721
446,C00826,1,227.2139
447,C00828,0,0.0
448,C00829,0,128.1705
449,C00831,1,278.3684
450,C00836,2,301.5078
451,C00842,8,564.3290000000002
452,C00844,6,295.2879
453,C00850,0,174.1744
454,C00856,9,0.0
455,C00857,8,665.4178
456,C00860,1,141.171
457,C00864,1,219.235
458,C00865,0,0.0
459,C00868,12,0.0
460,C00870,0,139.1088
461,C00877,5,835.6081
462,C00880,4,196.1553
463,C00881,3,227.2172
464,C00886,13,0.0
465,C00887,0,44.0128
466,C00894,5,821.5815
467,C00899,0,286.4516
468,C00900,0,132.1146
469,C00909,2,318.4504
470,C00911,4,0.0
471,C00921,0,314.2994
472,C00923,-1,0.0
473,C00924,-1,0.0
474,C00931,0,226.2292
475,C00942,4,345.2053
476,C00944,3,190.1507
477,C00951,5,272.382
478,C00954,0,175.18400000000003
479,C00956,1,161.1558
480,C00957,0,120.1271
481,C00958,0,0.0
482,C00963,5,0.0
483,C00965,4,0.0
484,C00966,0,146.1412
485,C00972,0,0.0
486,C00979,1,147.1293
487,C00984,5,180.1559
488,C00986,0,74.1249
489,C00988,0,156.0313
490,C00996,-1,0.0
491,C00999,-1,0.0
492,C01005,1,185.0725
493,C01010,0,104.0648
494,C01013,0,90.0779
495,C01019,4,164.1565
496,C01021,1,0.0
497,C01022,-1,0.0
498,C01024,0,854.8098
499,C01031,2,335.3336
500,C01035,0,145.1597
501,C01036,0,200.1455
502,C01037,0,188.2673
503,C01040,4,178.14
504,C01042,1,175.1394
505,C01051,0,836.7946
506,C01054,1,426.7174
507,C01061,0,200.1455
508,C01062,3,194.1394
509,C01063,5,909.6866
510,C01075,4,259.2343
511,C01077,1,161.1558
512,C01079,0,568.7058
513,C01081,0,345.3345
514,C01083,10,342.2965
515,C01086,6,0.0
516,C01087,1,148.114
517,C01092,0,187.2362
518,C01093,9,340.2806
519,C01094,3,260.1358
520,C01096,4,262.1517
521,C01097,3,260.1358
522,C01100,1,221.1509
523,C01102,1,199.0991
524,C01103,4,368.1908
525,C01107,1,228.137
526,C01118,1,219.1919
527,C01120,2,381.4877
528,C01122,5,0.0
529,C01132,4,221.2078
530,C01134,1,358.3483
531,C01137,4,355.4358
